requestid,boro,yr,m,d,hh,mm,vol,segmentid,wktgeom,street,fromst,tost,direction
22562,Queens,2016,5,8,8,45,260,155613,POINT (1059678.8154876027 198480.09766927382),HEMPSTEAD AVENUE,Cross Island Parkway,Cross Is Pkwy Nb En Hempstead Wb,WB
22562,Queens,2016,5,8,9,0,243,155613,POINT (1059678.8154876027 198480.09766927382),HEMPSTEAD AVENUE,Cross Island Parkway,Cross Is Pkwy Nb En Hempstead Wb,WB
22562,Queens,2016,5,8,9,15,245,155613,POINT (1059678.8154876027 198480.09766927382),HEMPSTEAD AVENUE,Cross Island Parkway,Cross Is Pkwy Nb En Hempstead Wb,WB
22562,Queens,2016,5,8,9,30,304,155613,POINT (1059678.8154876027 198480.09766927382),HEMPSTEAD AVENUE,Cross Island Parkway,Cross Is Pkwy Nb En Hempstead Wb,WB
22562,Queens,2016,5,8,9,45,312,155613,POINT (1059678.8154876027 198480.09766927382),HEMPSTEAD AVENUE,Cross Island Parkway,Cross Is Pkwy Nb En Hempstead Wb,WB
22562,Queens,2016,5,8,10,0,331,155613,POINT (1059678.8154876027 198480.09766927382),HEMPSTEAD AVENUE,Cross Island Parkway,Cross Is Pkwy Nb En Hempstead Wb,WB
22562,Queens,2016,5,8,10,15,331,155613,POINT (1059678.8154876027 198480.09766927382),HEMPSTEAD AVENUE,Cross Island Parkway,Cross Is Pkwy Nb En Hempstead Wb,WB
22562,Queens,2016,5,8,10,30,344,155613,POINT (1059678.8154876027 198480.09766927382),HEMPSTEAD AVENUE,Cross Island Parkway,Cross Is Pkwy Nb En Hempstead Wb,WB
22562,Queens,2016,5,8,10,45,397,155613,POINT (1059678.8154876027 198480.09766927382),HEMPSTEAD AVENUE,Cross Island Parkway,Cross Is Pkwy Nb En Hempstead Wb,WB
22562,Queens,2016,5,8,11,0,356,155613,POINT (1059678.8154876027 198480.09766927382),HEMPSTEAD AVENUE,Cross Island Parkway,Cross Is Pkwy Nb En Hempstead Wb,WB
22562,Queens,2016,5,8,11,15,394,155613,POINT (1059678.8154876027 198480.09766927382),HEMPSTEAD AVENUE,Cross Island Parkway,Cross Is Pkwy Nb En Hempstead Wb,WB
22562,Queens,2016,5,8,11,30,399,155613,POINT (1059678.8154876027 198480.09766927382),HEMPSTEAD AVENUE,Cross Island Parkway,Cross Is Pkwy Nb En Hempstead Wb,WB
22562,Queens,2016,5,8,11,45,439,155613,POINT (1059678.8154876027 198480.09766927382),HEMPSTEAD AVENUE,Cross Island Parkway,Cross Is Pkwy Nb En Hempstead Wb,WB
22562,Queens,2016,5,8,12,0,398,155613,POINT (1059678.8154876027 198480.09766927382),HEMPSTEAD AVENUE,Cross Island Parkway,Cross Is Pkwy Nb En Hempstead Wb,WB
22562,Queens,2016,5,8,12,15,416,155613,POINT (1059678.8154876027 198480.09766927382),HEMPSTEAD AVENUE,Cross Island Parkway,Cross Is Pkwy Nb En Hempstead Wb,WB
22562,Queens,2016,5,8,12,30,358,155613,POINT (1059678.8154876027 198480.09766927382),HEMPSTEAD AVENUE,Cross Island Parkway,Cross Is Pkwy Nb En Hempstead Wb,WB
22562,Queens,2016,5,8,12,45,405,155613,POINT (1059678.8154876027 198480.09766927382),HEMPSTEAD AVENUE,Cross Island Parkway,Cross Is Pkwy Nb En Hempstead Wb,WB
22562,Queens,2016,5,8,13,0,428,155613,POINT (1059678.8154876027 198480.09766927382),HEMPSTEAD AVENUE,Cross Island Parkway,Cross Is Pkwy Nb En Hempstead Wb,WB
22562,Queens,2016,5,8,13,15,446,155613,POINT (1059678.8154876027 198480.09766927382),HEMPSTEAD AVENUE,Cross Island Parkway,Cross Is Pkwy Nb En Hempstead Wb,WB
22562,Queens,2016,5,8,13,30,413,155613,POINT (1059678.8154876027 198480.09766927382),HEMPSTEAD AVENUE,Cross Island Parkway,Cross Is Pkwy Nb En Hempstead Wb,WB
22562,Queens,2016,5,8,13,45,437,155613,POINT (1059678.8154876027 198480.09766927382),HEMPSTEAD AVENUE,Cross Island Parkway,Cross Is Pkwy Nb En Hempstead Wb,WB
22562,Queens,2016,5,8,14,0,391,155613,POINT (1059678.8154876027 198480.09766927382),HEMPSTEAD AVENUE,Cross Island Parkway,Cross Is Pkwy Nb En Hempstead Wb,WB
22562,Queens,2016,5,8,14,15,427,155613,POINT (1059678.8154876027 198480.09766927382),HEMPSTEAD AVENUE,Cross Island Parkway,Cross Is Pkwy Nb En Hempstead Wb,WB
